StateName,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party name
Madhya Pradesh,BALAGHAT(15),BHARTI PARDHI,712660,174512,Bharatiya Janata Party - BJP
Madhya Pradesh,CHHINDWARA(16),BUNTY VIVEK SAHU,644738,113618,Bharatiya Janata Party - BJP
Madhya Pradesh,HOSHANGABAD(17),DARSHAN SINGH CHOUDHARY,812147,431696,Bharatiya Janata Party - BJP
Madhya Pradesh,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,1116460,821408,Bharatiya Janata Party - BJP
Madhya Pradesh,BHOPAL(19),ALOK SHARMA,981109,501499,Bharatiya Janata Party - BJP
Madhya Pradesh,RAJGARH(20),RODMAL NAGAR,758743,146089,Bharatiya Janata Party - BJP
Madhya Pradesh,DEWAS(21),MAHENDRA SINGH SOLANKY,928941,425225,Bharatiya Janata Party - BJP
Madhya Pradesh,UJJAIN(22),ANIL FIROJIYA,836104,375860,Bharatiya Janata Party - BJP
Madhya Pradesh,MANDSOUR(23),SUDHEER GUPTA,945761,500655,Bharatiya Janata Party - BJP
Madhya Pradesh,RATLAM(24),ANITA NAGARSINGH CHOUHAN,795863,207232,Bharatiya Janata Party - BJP
Madhya Pradesh,DHAR(25),SAVITRI THAKUR,794449,218665,Bharatiya Janata Party - BJP
Madhya Pradesh,INDORE(26),SHANKAR LALWANI,1226751,1175092,Bharatiya Janata Party - BJP
Madhya Pradesh,KHARGONE(27),GAJENDRA SINGH PATEL,819863,135018,Bharatiya Janata Party - BJP
Madhya Pradesh,KHANDWA(28),GYANESHWAR PATIL,862679,269971,Bharatiya Janata Party - BJP
Madhya Pradesh,BETUL(29),DURGADAS (D. D.) UIKEY,848236,379761,Bharatiya Janata Party - BJP
Maharashtra,Nandurbar(1),ADV GOWAAL KAGADA PADAVI,745998,159120,Indian National Congress - INC
Maharashtra,Dhule(2),BACHHAV SHOBHA DINESH,583866,3831,Indian National Congress - INC
Maharashtra,Amravati (7),BALWANT BASWANT WANKHADE,526271,19731,Indian National Congress - INC
Maharashtra,Ramtek (9),Shyamkumar (Babalu) Daulat Barve,613025,76768,Indian National Congress - INC
Maharashtra,Bhandara Gondiya(11),DR. PRASHANT YADAORAO PADOLE,587413,37380,Indian National Congress - INC
Maharashtra,Gadchiroli - Chimur(12),DR. KIRSAN NAMDEO,617792,141696,Indian National Congress - INC
Maharashtra,Chandrapur(13),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,718410,260406,Indian National Congress - INC
Maharashtra,Nanded(16),CHAVAN VASANTRAO BALWANTRAO,528894,59442,Indian National Congress - INC
Maharashtra,Jalna(18),KALYAN VAIJINATHRAO KALE,607897,109958,Indian National Congress - INC
Maharashtra,Mumbai North Central(29),GAIKWAD VARSHA EKNATH,445545,16514,Indian National Congress - INC
Maharashtra,Latur (41),DR. KALGE SHIVAJI BANDAPPA,609021,61881,Indian National Congress - INC
Maharashtra,Solapur(42),PRANITI SUSHILKUMAR SHINDE,620225,74197,Indian National Congress - INC
Maharashtra,Kolhapur(47),CHHATRAPATI SHAHU SHAHAJI,754522,154964,Indian National Congress - INC
Maharashtra,Jalgaon(3),SMITA UDAY WAGH,674428,251594,Bharatiya Janata Party - BJP
Maharashtra,Raver(4),KHADSE RAKSHA NIKHIL,630879,272183,Bharatiya Janata Party - BJP
Maharashtra,Akola(6),ANUP SANJAY DHOTRE,457030,40626,Bharatiya Janata Party - BJP
Maharashtra,Nagpur(10),NITIN JAIRAM GADKARI,655027,137603,Bharatiya Janata Party - BJP
Maharashtra,Palghar(22),DR. HEMANT VISHNU SAVARA,601244,183306,Bharatiya Janata Party - BJP
Maharashtra,Mumbai North(26),PIYUSH GOYAL,680146,357608,Bharatiya Janata Party - BJP
Maharashtra,Pune(34),MURLIDHAR MOHOL,584728,123038,Bharatiya Janata Party - BJP
Maharashtra,Satara(45),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,571134,32771,Bharatiya Janata Party - BJP
Maharashtra,Ratnagiri- Sindhudurg(46),NARAYAN TATU RANE,448514,47858,Bharatiya Janata Party - BJP
Maharashtra,Yavatmal- Washim(14),SANJAY UTTAMRAO DESHMUKH,594807,94473,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT
Maharashtra,Hingoli(15),AASHTIKAR PATIL NAGESH BAPURAO,492535,108602,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT
Maharashtra,Parbhani(17),JADHAV SANJAY ( BANDU ) HARIBHAU,601343,134061,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT
Maharashtra,Nashik(21),RAJABHAU (PARAG) PRAKASH WAJE,616729,162001,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT
Maharashtra,Mumbai North East(28),SANJAY DINA PATIL,450937,29861,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT
Maharashtra,Mumbai South Central(30),ANIL YESHWANT DESAI,395138,53384,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT
Maharashtra,Mumbai South(31),ARVIND GANPAT SAWANT,395655,52673,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT
Maharashtra,Shirdi (38),BHAUSAHEB RAJARAM WAKCHAURE,476900,50529,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT
